Test Source,Best Model,F1-Macro,Balanced Acc,AUROC,AUPRC,MCC,Train Samples,Test Samples
Android_2k,GB,1.0,1.0,1.0,0.9999999999999999,1.0,24000,2000
Spark_2k,GB,1.0,1.0,1.0,1.0,1.0,24000,2000
Thunderbird_2k,GB,1.0,1.0,1.0,1.0,1.0,24000,2000
Windows_2k,BALANCED_BAGGING,0.99529752924349,0.9956222766670954,0.998295547824523,0.9942533620429362,0.9905999484482738,24000,2000
BGL_2k,GB,0.9900916522169928,0.9821428571428572,1.0,0.9999999999999999,0.9803763985285725,24000,2000
Proxifier_2k,NB,0.9791448339146711,0.9978980557015239,1.0,1.0,0.9591276930037133,24000,2000
Zookeeper_2k,NB,0.9578745510417404,0.9774562584118438,0.9916529633256699,0.9465382658194079,0.9191264969879621,24000,2000
Hadoop_2k,XGB,0.8877117775460637,0.9165670981303242,0.8665493970571965,0.9510781724555619,0.79632651414025,24000,2000
Mac_2k,NB,0.877590949757105,0.9190455276333029,0.9737631372225358,0.8312740125205371,0.7679307374795505,24000,2000
HPC_2k,LR,0.7481448579193559,0.7470746026925802,0.8963953841481932,0.8682577936338142,0.49700211311738646,24000,2000
Apache_2k,NB,0.6379449300776718,0.6271975675248389,0.9002768521457574,0.7340232366777837,0.30446234132261374,24000,2000
HealthApp_2k,NB,0.5311675368878168,0.9550025138260432,0.9964806435394671,0.44,0.22953104713940176,24000,2000
Linux_2k,KNN,0.2333743842364532,0.6030229287133576,0.7376119086423611,0.9761444353255668,0.10763103097540819,24000,2000
