test_source,f1_macro,bal_acc,auroc,mcc,threshold
Android_2k,0.5756958587915818,0.6052529031252436,0.8382822850907957,0.15906811398675133,0.85
Apache_2k,0.6915543632868604,0.772888711320054,0.6013488422825166,0.4959037897540134,0.64
BGL_2k,0.6242543797848856,0.6381784154709919,0.7816788833437305,0.2511232418758083,0.83
Hadoop_2k,0.251271898731895,0.2654552494744994,0.38819172474831287,-0.45815536403080875,0.9
HealthApp_2k,0.7620275254828859,0.726518579459756,0.9921842863019333,0.5308329818021044,0.72
HPC_2k,0.6716447085929151,0.6762931470796639,0.9083652191517361,0.4014999290674589,0.7
Linux_2k,0.4016831549411914,0.6971433993436181,0.8470870264115559,0.1671645838167709,0.76
Mac_2k,0.6242082613570931,0.615137411184196,0.603044755354003,0.25489295806790196,0.65
Proxifier_2k,0.3066010523316026,0.486467379233007,0.6792178383561496,-0.012069853564499931,0.67
Spark_2k,0.5021107326917271,0.6533634538152611,0.8091741967871486,0.07613089755642989,0.82
Thunderbird_2k,0.4842452599004964,0.5638752752326159,0.5402912138646211,0.07911970340702934,0.75
Windows_2k,0.32076195862960566,0.3834452729685387,0.37750896928744493,-0.32053520125813917,0.6799999999999999
Zookeeper_2k,0.571816861727874,0.651407952825594,0.6706471817377233,0.26664040536308037,0.86
