Test Source,Best Model,Strategy,F1-Macro,Balanced Acc,AUROC,AUPRC,MCC,Train Samples,Test Samples,Minority Samples,Imbalance Ratio
BGL_2k,CNN_ATTENTION,balanced,1.0,1.0,0.9999999999999999,1.0,1.0,19200,2000,5402,2.5542391706775267
Spark_2k,CNN_ATTENTION,balanced,1.0,1.0,1.0,1.0,1.0,19200,2000,5530,2.4719710669077757
Thunderbird_2k,CNN_ATTENTION,balanced,0.9971588891256482,0.9971588891256482,0.9999971588891257,0.9999738356881214,0.9943177782512963,19200,2000,5380,2.5687732342007434
Windows_2k,CNN_ATTENTION,balanced,0.9958191183356746,0.9960358415967894,0.9991414998551739,0.9974225538513317,0.9916404121150392,19200,2000,4903,2.9159698143993475
Proxifier_2k,VAE,balanced,0.9893729509721093,0.998949027850762,1.0,1.0,0.9789674870107975,19200,2000,5458,2.5177720776841332
Android_2k,CNN_ATTENTION,balanced,0.9047256097560976,0.9969604863221885,1.0,1.0,0.8246521641330425,19200,2000,5515,2.4814143245693563
Hadoop_2k,STACKED_AE,moderate_imbalance,0.7054292293723567,0.7751908396946565,0.9972419515433123,0.998621483675075,0.5449055830435917,19200,2000,4488,3.27807486631016
Zookeeper_2k,CNN_ATTENTION,balanced,0.615494941755274,0.6542372126880718,0.6559169629905054,0.3268294723185236,0.272721025432938,19200,2000,5125,2.7463414634146344
Mac_2k,CNN_ATTENTION,balanced,0.6047729358438874,0.6132671393684112,0.7263286814804771,0.33426706113109084,0.21297243316967945,19200,2000,5190,2.699421965317919
HealthApp_2k,CNN_ATTENTION,balanced,0.4967287367891293,0.4962292609351433,0.5620000914118561,0.006639285335453251,-0.006464639700856344,19200,2000,5527,2.473855617875882
Apache_2k,VAE,balanced,0.4675798192892143,0.5196235350060481,0.9393069994938471,0.7799745412124564,0.10744822976458475,19200,2000,5079,2.780271707028943
HPC_2k,CNN_ATTENTION,balanced,0.35815031773003253,0.500561797752809,0.739758072679421,0.7528771071552336,0.024978139629437002,19200,2000,4824,2.9800995024875623
Linux_2k,FLNN,moderate_imbalance,0.08695526080777957,0.5209863588667366,0.9249179522671965,0.9952282472534286,0.045331162633461035,19200,2000,4011,3.7868362004487657
