Test Source,Best F1,Final F1,Balanced Acc,AUROC
Spark_2k,0.49899799599198397,0.49899799599198397,0.5,0.6723142570281124
HealthApp_2k,0.6830457439568942,0.48901379662749106,0.48114630467571645,0.2756295991590109
Proxifier_2k,0.4875736612861901,0.4875736612861901,0.5,0.8147146935657752
Thunderbird_2k,0.4743758212877792,0.47423764458464773,0.4997229916897507,0.5375381774273741
Android_2k,0.4967287367891293,0.44498729724447916,0.4366378302548516,0.45261476112539945
Mac_2k,0.48098253940615937,0.43930473787496493,0.5,0.495041347892665
Zookeeper_2k,0.42627653471026966,0.42627653471026966,0.5,0.6421058281967624
Apache_2k,0.41673957421988916,0.41673957421988916,0.5,0.48559670277550715
Windows_2k,0.37675288251791833,0.37597503900156004,0.49834574028122414,0.6494642478085241
HPC_2k,0.35691318327974275,0.35691318327974275,0.5,0.4583080271282518
Hadoop_2k,0.3957703927492447,0.25650557620817843,0.5,0.4727613674078991
BGL_2k,0.614907412576577,0.07749077490774908,0.5,0.516702082033687
Linux_2k,0.4879672299027138,0.044890162368672396,0.5,0.4339125047442567
