Test Source,F1-Macro,Balanced Acc,AUROC,MCC
Linux_2k,0.4879672299027138,0.5,0.15312227902926928,0.0
Hadoop_2k,0.3957703927492447,0.5,0.40694379909281997,0.0
HPC_2k,0.3079584775086505,0.5,0.47914819313695717,0.0
Windows_2k,0.28341096381225367,0.5,0.5545727942245213,0.0
Apache_2k,0.22209257098405288,0.5,0.5460433673750764,0.0
Zookeeper_2k,0.20445505171042164,0.5,0.291390199579997,0.0
Mac_2k,0.17796958487464037,0.5,0.4450598442766587,0.0
BGL_2k,0.07749077490774908,0.5,0.47432873258473696,0.0
Thunderbird_2k,0.07577328683584383,0.37109879963065556,0.5010029121386462,-0.42197318001961065
Proxifier_2k,0.04625655698617072,0.5,0.7540996039893603,0.0
Android_2k,0.012833168805528134,0.5,0.5915848336061101,0.0
Spark_2k,0.005493784336152101,0.5007530120481928,0.5215235943775101,0.002456246344465314
HealthApp_2k,0.005469915464942815,0.5,0.6432423785364961,0.0
